XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Presidential Debate in Chicago;;;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. VANOCUR;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. WARREN;;,,,,,,,,,,;;;;;;;;;;;
w;speaker;MR. KENNEDY;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. SMITH;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. NOVINS;;,,,,,,,,,,;;;;;;;;;;;
l;speaker;MR. NIXON;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;VOICE;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. FLEMING;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Presidential Debate in Washington, DC;;;;,,,,,,,,,;;;;;;;;;;;
w;speaker;MR. KENNEDY;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. McGEE;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. SPIVAK;;,,,,,,,,,,;;;;;;;;;;;
l;speaker;MR. NIXON;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. LEVY;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. MORGAN;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. NIVEN;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Presidential Debate Broadcast from New York and Los Angeles;;;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. SHADEL;;,,,,,,,,,,;;;;;;;;;;;
w;speaker;MR. KENNEDY;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. McGEE;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. CATER;;,,,,,,,,,,;;;;;;;;;;;
l;speaker;MR. NIXON;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. VON FREMD;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. DRUMMOND;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Presidential Debate in New York;;;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. CHANCELLOR;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. HOWE;;,,,,,,,,,,;;;;;;;;;;;
l;speaker;MR. NIXON;;,,,,,,,,,,;;;;;;;;;;;
w;speaker;MR. KENNEDY;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. EDWARDS;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. CRONKITE;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MR. SINGISER;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Vice Presidential Debate in Houston, Texas;;;;,,,,,,,,,;;;;;;;;;;;
d;speaker;MONDALE;;,,,,,,,,,,;;;;;;;;;;;
r;speaker;DOLE;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;HOGE;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Presidential Debate in Baltimore (Reagan-Anderson);;;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;CORDDRY;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;LOOMIS;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;RUTH J. HINERFELD, CHAIR, LEAGUE OF WOMEN VOTERS EDUCATION FUND;;,,,,,,,,;;;;;;;;;;;
t;speaker;GOLDEN;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MAY;;,,,,,,,,,,;;;;;;;;;;;
w;speaker;REAGAN;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;ANDERSON;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MOYERS;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;QUINN;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;GREENBERG;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Vice Presidential Debate in Philadelphia, Pennsylvania;;;;,,,,,,,,,;;;;;;;;;;;
t;speaker;MASHEK;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;VANOCUR;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;QUARLES;;,,,,,,,,,,;;;;;;;;;;;
d;speaker;FERRARO;;,,,,,,,,,,;;;;;;;;;;;
w;speaker;BUSH;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;BOYD;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;DOROTHY S. RIDINGS;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;WHITE;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Presidential Debate in Winston-Salem, North Carolina;;;;,,,,,,,,,;;;;;;;;;;;
t;speaker;LEHRER;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;MASHEK;;,,,,,,,,,,;;;;;;;;;;;
d;speaker;DUKAKIS;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;JENNINGS;;,,,,,,,,,,;;;;;;;;;;;
w;speaker;BUSH;;,,,,,,,,,,;;;;;;;;;;;
t;speaker;GROER;;,,,,,,,,,,;;;;;;;;;;;
XXXXXXXXXXX;;;;,,,,,,,,,,;;;;;;;;;;;
Vice Presidential Debate in Omaha, Nebraska;;;;,,,,,,,,,;;;;;;;;;;;
d;speaker;BENTSEN;;,,,,,,,,,,;;;;;;;;;;;
r;speaker;QUAYLE;;,,,,,,,,,,;;;;;;;;;;;
