XXXXXXXXXXX;;
Presidential Debate in Chicago;;
t;speaker;MR. VANOCUR
t;speaker;MR. WARREN
d;speaker;MR. KENNEDY
t;speaker;MR. SMITH
t;speaker;MR. NOVINS
r;speaker;MR. NIXON
t;speaker;VOICE
t;speaker;MR. FLEMING
XXXXXXXXXXX;;
Presidential Debate in Washington, DC;;
d;speaker;MR. KENNEDY
t;speaker;MR. McGEE
t;speaker;MR. SPIVAK
r;speaker;MR. NIXON
t;speaker;MR. LEVY
t;speaker;MR. MORGAN
t;speaker;MR. NIVEN
XXXXXXXXXXX;;
Presidential Debate Broadcast from New York and Los Angeles;;
t;speaker;MR. SHADEL
d;speaker;MR. KENNEDY
t;speaker;MR. McGEE
t;speaker;MR. CATER
r;speaker;MR. NIXON
t;speaker;MR. VON FREMD
t;speaker;MR. DRUMMOND
XXXXXXXXXXX;;
Presidential Debate in New York;;
t;speaker;MR. CHANCELLOR
t;speaker;MR. HOWE
r;speaker;MR. NIXON
d;speaker;MR. KENNEDY
t;speaker;MR. EDWARDS
t;speaker;MR. CRONKITE
t;speaker;MR. SINGISER
XXXXXXXXXXX;;
Vice Presidential Debate in Houston, Texas;;
d;speaker;MONDALE
r;speaker;DOLE
t;speaker;HOGE
XXXXXXXXXXX;;
Presidential Debate in Baltimore (Reagan-Anderson);;
t;speaker;CORDDRY
t;speaker;LOOMIS
t;speaker;RUTH J. HINERFELD, CHAIR, LEAGUE OF WOMEN VOTERS EDUCATION FUND
t;speaker;GOLDEN
t;speaker;MAY
r;speaker;REAGAN
t;speaker;ANDERSON
t;speaker;MOYERS
t;speaker;QUINN
t;speaker;GREENBERG
XXXXXXXXXXX;;
Vice Presidential Debate in Philadelphia, Pennsylvania;;
t;speaker;MASHEK
t;speaker;VANOCUR
t;speaker;QUARLES
d;speaker;FERRARO
r;speaker;BUSH
t;speaker;BOYD
t;speaker;DOROTHY S. RIDINGS
t;speaker;WHITE
XXXXXXXXXXX;;
Presidential Debate in Winston-Salem, North Carolina;;
t;speaker;LEHRER
t;speaker;MASHEK
d;speaker;DUKAKIS
t;speaker;JENNINGS
r;speaker;BUSH
t;speaker;GROER
XXXXXXXXXXX;;
Vice Presidential Debate in Omaha, Nebraska;;
d;speaker;BENTSEN
r;speaker;QUAYLE
t;speaker;WOODRUFF
t;speaker;BROKAW
t;speaker;MARGOLIS
t;speaker;HUME
XXXXXXXXXXX;;
Presidential Debate at the University of California in Los Angeles;;
t;speaker;SHAW
d;speaker;DUKAKIS
t;speaker;COMPTON
r;speaker;BUSH
t;speaker;MITCHELL
t;speaker;WARNER
XXXXXXXXXXX;;
Vice Presidential Debate in Atlanta, Georgia;;
t;speaker;STOCKDALE
r;speaker;QUAYLE
t;speaker;BRUNO
d;speaker;GORE
XXXXXXXXXXX;;
Presidential Debate in Hartford;;
r;speaker;Senator Dole
d;speaker;The President
t;speaker;Mr. Lehrer
XXXXXXXXXXX;;
Vice Presidential Debate in St. Petersburg, Florida;;
t;speaker;LEHRER
d;speaker;GORE
r;speaker;KEMP
XXXXXXXXXXX;;
Presidential Debate in San Diego;;
t;speaker;Q
d;speaker;The President
r;speaker;Senator Dole
t;speaker;Mr. Lehrer
XXXXXXXXXXX;;
Republican Presidential Candidates Forum in Durham, New Hampshire;;
r;speaker;SEN. ORRIN HATCH
r;speaker;UNIDENTIFIED
r;speaker;GARY BAUER
r;speaker;ALAN KEYES
r;speaker;SENATOR JOHN McCAIN
r;speaker;COKIE ROBERTS
r;speaker;STEVE FORBES
XXXXXXXXXXX;;
Democratic Presidential Candidates Town Hall at Dartmouth College in Hanover, New Hampshire;;
"Former Senator Bill Bradley (NJ), and; Vice President Al Gore";;
d;speaker;Brown
d;speaker;Shaw
d;speaker;Q
d;speaker;Gore
d;speaker;Bradley
d;speaker;Kilgore
d;speaker;Unknown Male
XXXXXXXXXXX;;
Republican Presidential Candidates Town Hall at Dartmouth College in Hanover, New Hampshire;;
"Gary Bauer (President, Family Research Council); Steve Forbes (Businessperson); Senator Orrin Hatch (UT); Former Ambassador Alan Keyes; Senator John McCain (AZ)";;
r;speaker;Woodruff
r;speaker;QUESTION
r;speaker;McCain
r;speaker;Q
r;speaker;Keyes
r;speaker;Forbes
r;speaker;Protester
r;speaker;Hatch
r;speaker;Bauer
r;speaker;Griffith
XXXXXXXXXXX;;
Republican Presidential Candidates Debate in Manchester, New Hampshire;;
"Gary Bauer (President, Family Research Council); Governor George W. Bush (TX); Steve Forbes (Businessperson); Senator Orrin Hatch (UT); Former Ambassador Alan Keyes; Senator John McCain (AZ)";;
r;speaker;Brown
r;speaker;Bush
r;speaker;McCain
r;speaker;Keyes
r;speaker;Forbes
r;speaker;Hatch
r;speaker;Bauer
r;speaker;Hume
XXXXXXXXXXX;;
Republican Presidential Candidates Debate in Phoenix, Arizona;;
r;speaker;KING
r;speaker;ANNOUNCER
r;speaker;WOODRUFF
r;speaker;BUSH
r;speaker;McCAIN
r;speaker;KEYES
